ID,Summary_Group,Summary_Type,FormatCode,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Total,BatchNo,AuditDate,Hotel_ID
411,Total Revenue,Avg Spend/Guest,C2,91.25,120.09,105.62,179.96,105.54,126.97,93.95,121.93,20220419-070144,2022-01-09,1
412,Total Revenue,Breakfast Capture %,P,0.00,2.56,0.73,0.73,8.76,32.12,20.44,9.33,20220419-070144,2022-01-09,1
413,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070144,2022-01-09,1
414,Total Revenue,Room Revenue,C2,3292.36,7688.69,6494.73,8691.39,13443.66,14633.87,3863.67,58108.37,20220419-070144,2022-01-09,1
415,Total Revenue,F&B Revenue,C,15.45,159.82,157.82,219.72,1259.36,1407.54,440.83,3660.54,20220419-070144,2022-01-09,1
416,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070144,2022-01-09,1
417,Total Revenue,Other Revenue,C,250.91,557.54,635.47,8545.35,1021.71,1353.29,486.86,12851.13,20220419-070144,2022-01-09,1
418,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070144,2022-01-09,1
419,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070148,2022-01-10,1
420,Key Staticstics,Room Occupied,N,38.00,37.00,50.00,73.00,69.00,30.00,29.00,326.00,20220419-070148,2022-01-10,1
421,Key Staticstics,# of Guest,N,70.00,69.00,97.00,149.00,137.00,51.00,50.00,623.00,20220419-070148,2022-01-10,1
422,Key Staticstics,Room Density,N2,1.84,1.86,1.94,2.04,1.99,1.70,1.72,1.91,20220419-070148,2022-01-10,1
423,Key Staticstics,No of Arrivals,N,59.00,71.00,105.00,148.00,179.00,195.00,215.00,972.00,20220419-070148,2022-01-10,1
424,Key Staticstics,No of Departure,N,75.00,88.00,109.00,129.00,164.00,219.00,240.00,1024.00,20220419-070148,2022-01-10,1
425,Key Staticstics,Occupancy %,P,14.84,14.45,19.53,28.52,26.95,11.72,11.33,18.19,20220419-070148,2022-01-10,1
426,Key Staticstics,Avg Daily Rate,C2,202.33,175.53,173.83,184.16,212.09,128.79,124.65,179.24,20220419-070148,2022-01-10,1
427,Key Staticstics,RevPAR,C2,30.03,25.37,33.95,52.51,57.16,15.09,14.12,32.60,20220419-070148,2022-01-10,1
428,Total Revenue,Total Revenue,C,8406.05,7288.02,17456.46,15724.73,17394.70,4791.36,4155.58,75216.90,20220419-070148,2022-01-10,1
429,Total Revenue,Total Rev POR,C,32.84,28.47,68.19,61.42,67.95,18.72,16.23,41.97,20220419-070148,2022-01-10,1
430,Total Revenue,Avg Spend/Guest,C2,120.09,105.62,179.96,105.54,126.97,93.95,83.11,120.73,20220419-070148,2022-01-10,1
431,Total Revenue,Breakfast Capture %,P,2.56,1.43,1.96,23.53,86.27,54.90,5.88,25.22,20220419-070148,2022-01-10,1
432,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070148,2022-01-10,1
433,Total Revenue,Room Revenue,C2,7688.69,6494.73,8691.39,13443.66,14633.87,3863.67,3614.95,58430.96,20220419-070148,2022-01-10,1
434,Total Revenue,F&B Revenue,C,159.82,157.82,219.72,1259.36,1407.54,440.83,119.72,3764.81,20220419-070148,2022-01-10,1
435,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070148,2022-01-10,1
436,Total Revenue,Other Revenue,C,557.54,635.47,8545.35,1021.71,1353.29,486.86,420.91,13021.13,20220419-070148,2022-01-10,1
437,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070148,2022-01-10,1
438,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070151,2022-01-11,1
439,Key Staticstics,Room Occupied,N,37.00,50.00,73.00,69.00,30.00,29.00,32.00,320.00,20220419-070151,2022-01-11,1
440,Key Staticstics,# of Guest,N,69.00,97.00,149.00,137.00,51.00,50.00,52.00,605.00,20220419-070151,2022-01-11,1
441,Key Staticstics,Room Density,N2,1.86,1.94,2.04,1.99,1.70,1.72,1.63,1.89,20220419-070151,2022-01-11,1
442,Key Staticstics,No of Arrivals,N,71.00,105.00,148.00,179.00,195.00,215.00,228.00,1141.00,20220419-070151,2022-01-11,1
443,Key Staticstics,No of Departure,N,88.00,109.00,129.00,164.00,219.00,240.00,250.00,1199.00,20220419-070151,2022-01-11,1
444,Key Staticstics,Occupancy %,P,14.45,19.53,28.52,26.95,11.72,11.33,12.50,17.86,20220419-070151,2022-01-11,1
445,Key Staticstics,Avg Daily Rate,C2,175.53,173.83,184.16,212.09,128.79,124.65,120.58,170.63,20220419-070151,2022-01-11,1
446,Key Staticstics,RevPAR,C2,25.37,33.95,52.51,57.16,15.09,14.12,15.07,30.47,20220419-070151,2022-01-11,1
447,Total Revenue,Total Revenue,C,7288.02,17456.46,15724.73,17394.70,4791.36,4155.58,4129.50,70940.35,20220419-070151,2022-01-11,1
448,Total Revenue,Total Rev POR,C,28.47,68.19,61.42,67.95,18.72,16.23,16.13,39.59,20220419-070151,2022-01-11,1
449,Total Revenue,Avg Spend/Guest,C2,105.62,179.96,105.54,126.97,93.95,83.11,79.41,117.26,20220419-070151,2022-01-11,1
450,Total Revenue,Breakfast Capture %,P,1.43,1.45,24.00,88.00,56.00,6.00,8.00,26.41,20220419-070151,2022-01-11,1
451,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070151,2022-01-11,1
452,Total Revenue,Room Revenue,C2,6494.73,8691.39,13443.66,14633.87,3863.67,3614.95,3858.56,54600.83,20220419-070151,2022-01-11,1
453,Total Revenue,F&B Revenue,C,157.82,219.72,1259.36,1407.54,440.83,119.72,124.55,3729.54,20220419-070151,2022-01-11,1
454,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070151,2022-01-11,1
455,Total Revenue,Other Revenue,C,635.47,8545.35,1021.71,1353.29,486.86,420.91,146.39,12609.98,20220419-070151,2022-01-11,1
456,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070151,2022-01-11,1
457,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070154,2022-01-12,1
458,Key Staticstics,Room Occupied,N,50.00,73.00,69.00,30.00,29.00,32.00,36.00,319.00,20220419-070154,2022-01-12,1
459,Key Staticstics,# of Guest,N,97.00,149.00,137.00,51.00,50.00,52.00,61.00,597.00,20220419-070154,2022-01-12,1
460,Key Staticstics,Room Density,N2,1.94,2.04,1.99,1.70,1.72,1.63,1.69,1.87,20220419-070154,2022-01-12,1
461,Key Staticstics,No of Arrivals,N,105.00,148.00,179.00,195.00,215.00,228.00,250.00,1320.00,20220419-070154,2022-01-12,1
462,Key Staticstics,No of Departure,N,109.00,129.00,164.00,219.00,240.00,250.00,268.00,1379.00,20220419-070154,2022-01-12,1
463,Key Staticstics,Occupancy %,P,19.53,28.52,26.95,11.72,11.33,12.50,14.06,17.80,20220419-070154,2022-01-12,1
464,Key Staticstics,Avg Daily Rate,C2,173.83,184.16,212.09,128.79,124.65,120.58,132.75,165.78,20220419-070154,2022-01-12,1
465,Key Staticstics,RevPAR,C2,33.95,52.51,57.16,15.09,14.12,15.07,18.67,29.51,20220419-070154,2022-01-12,1
466,Total Revenue,Total Revenue,C,17456.46,15724.73,17394.70,4791.36,4155.58,4129.50,5511.88,69164.21,20220419-070154,2022-01-12,1
467,Total Revenue,Total Rev POR,C,68.19,61.42,67.95,18.72,16.23,16.13,21.53,38.60,20220419-070154,2022-01-12,1
468,Total Revenue,Avg Spend/Guest,C2,179.96,105.54,126.97,93.95,83.11,79.41,90.36,115.85,20220419-070154,2022-01-12,1
469,Total Revenue,Breakfast Capture %,P,1.45,12.37,84.62,53.85,5.77,7.69,7.69,24.78,20220419-070154,2022-01-12,1
470,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070154,2022-01-12,1
471,Total Revenue,Room Revenue,C2,8691.39,13443.66,14633.87,3863.67,3614.95,3858.56,4779.05,52885.15,20220419-070154,2022-01-12,1
472,Total Revenue,F&B Revenue,C,219.72,1259.36,1407.54,440.83,119.72,124.55,168.82,3740.54,20220419-070154,2022-01-12,1
473,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070154,2022-01-12,1
474,Total Revenue,Other Revenue,C,8545.35,1021.71,1353.29,486.86,420.91,146.39,564.01,12538.52,20220419-070154,2022-01-12,1
475,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070154,2022-01-12,1
476,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070158,2022-01-13,1
477,Key Staticstics,Room Occupied,N,73.00,69.00,30.00,29.00,32.00,36.00,31.00,300.00,20220419-070158,2022-01-13,1
478,Key Staticstics,# of Guest,N,149.00,137.00,51.00,50.00,52.00,61.00,58.00,558.00,20220419-070158,2022-01-13,1
479,Key Staticstics,Room Density,N2,2.04,1.99,1.70,1.72,1.63,1.69,1.87,1.86,20220419-070158,2022-01-13,1
480,Key Staticstics,No of Arrivals,N,148.00,179.00,195.00,215.00,228.00,250.00,270.00,1485.00,20220419-070158,2022-01-13,1
481,Key Staticstics,No of Departure,N,129.00,164.00,219.00,240.00,250.00,268.00,293.00,1563.00,20220419-070158,2022-01-13,1
482,Key Staticstics,Occupancy %,P,28.52,26.95,11.72,11.33,12.50,14.06,12.11,16.74,20220419-070158,2022-01-13,1
483,Key Staticstics,Avg Daily Rate,C2,184.16,212.09,128.79,124.65,120.58,132.75,137.81,161.55,20220419-070158,2022-01-13,1
484,Key Staticstics,RevPAR,C2,52.51,57.16,15.09,14.12,15.07,18.67,16.69,27.04,20220419-070158,2022-01-13,1
485,Total Revenue,Total Revenue,C,15724.73,17394.70,4791.36,4155.58,4129.50,5511.88,4920.07,56627.82,20220419-070158,2022-01-13,1
486,Total Revenue,Total Rev POR,C,61.42,67.95,18.72,16.23,16.13,21.53,19.22,31.60,20220419-070158,2022-01-13,1
487,Total Revenue,Avg Spend/Guest,C2,105.54,126.97,93.95,83.11,79.41,90.36,84.83,101.48,20220419-070158,2022-01-13,1
488,Total Revenue,Breakfast Capture %,P,12.37,29.53,45.90,4.92,6.56,6.56,6.56,16.06,20220419-070158,2022-01-13,1
489,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070158,2022-01-13,1
490,Total Revenue,Room Revenue,C2,13443.66,14633.87,3863.67,3614.95,3858.56,4779.05,4272.18,48465.94,20220419-070158,2022-01-13,1
491,Total Revenue,F&B Revenue,C,1259.36,1407.54,440.83,119.72,124.55,168.82,87.73,3608.55,20220419-070158,2022-01-13,1
492,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070158,2022-01-13,1
493,Total Revenue,Other Revenue,C,1021.71,1353.29,486.86,420.91,146.39,564.01,560.16,4553.33,20220419-070158,2022-01-13,1
494,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070158,2022-01-13,1
495,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070201,2022-01-14,1
496,Key Staticstics,Room Occupied,N,69.00,30.00,29.00,32.00,36.00,31.00,49.00,276.00,20220419-070201,2022-01-14,1
497,Key Staticstics,# of Guest,N,137.00,51.00,50.00,52.00,61.00,58.00,94.00,503.00,20220419-070201,2022-01-14,1
498,Key Staticstics,Room Density,N2,1.99,1.70,1.72,1.63,1.69,1.87,1.92,1.82,20220419-070201,2022-01-14,1
499,Key Staticstics,No of Arrivals,N,179.00,195.00,215.00,228.00,250.00,270.00,307.00,1644.00,20220419-070201,2022-01-14,1
500,Key Staticstics,No of Departure,N,164.00,219.00,240.00,250.00,268.00,293.00,312.00,1746.00,20220419-070201,2022-01-14,1
501,Key Staticstics,Occupancy %,P,26.95,11.72,11.33,12.50,14.06,12.11,19.14,15.40,20220419-070201,2022-01-14,1
502,Key Staticstics,Avg Daily Rate,C2,212.09,128.79,124.65,120.58,132.75,137.81,167.32,156.60,20220419-070201,2022-01-14,1
503,Key Staticstics,RevPAR,C2,57.16,15.09,14.12,15.07,18.67,16.69,32.03,24.12,20220419-070201,2022-01-14,1
504,Total Revenue,Total Revenue,C,17394.70,4791.36,4155.58,4129.50,5511.88,4920.07,9316.52,50219.61,20220419-070201,2022-01-14,1
505,Total Revenue,Total Rev POR,C,67.95,18.72,16.23,16.13,21.53,19.22,36.39,28.02,20220419-070201,2022-01-14,1
506,Total Revenue,Avg Spend/Guest,C2,126.97,93.95,83.11,79.41,90.36,84.83,99.11,99.84,20220419-070201,2022-01-14,1
507,Total Revenue,Breakfast Capture %,P,29.53,20.44,5.17,6.90,6.90,6.90,3.45,11.33,20220419-070201,2022-01-14,1
508,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070201,2022-01-14,1
509,Total Revenue,Room Revenue,C2,14633.87,3863.67,3614.95,3858.56,4779.05,4272.18,8198.87,43221.15,20220419-070201,2022-01-14,1
510,Total Revenue,F&B Revenue,C,1407.54,440.83,119.72,124.55,168.82,87.73,415.23,2764.42,20220419-070201,2022-01-14,1
511,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070201,2022-01-14,1
512,Total Revenue,Other Revenue,C,1353.29,486.86,420.91,146.39,564.01,560.16,702.42,4234.04,20220419-070201,2022-01-14,1
513,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070201,2022-01-14,1
514,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070204,2022-01-15,1
515,Key Staticstics,Room Occupied,N,30.00,29.00,32.00,36.00,31.00,49.00,88.00,295.00,20220419-070204,2022-01-15,1
516,Key Staticstics,# of Guest,N,51.00,50.00,52.00,61.00,58.00,94.00,174.00,540.00,20220419-070204,2022-01-15,1
517,Key Staticstics,Room Density,N2,1.70,1.72,1.63,1.69,1.87,1.92,1.98,1.83,20220419-070204,2022-01-15,1
518,Key Staticstics,No of Arrivals,N,195.00,215.00,228.00,250.00,270.00,307.00,358.00,1823.00,20220419-070204,2022-01-15,1
519,Key Staticstics,No of Departure,N,219.00,240.00,250.00,268.00,293.00,312.00,324.00,1906.00,20220419-070204,2022-01-15,1
520,Key Staticstics,Occupancy %,P,11.72,11.33,12.50,14.06,12.11,19.14,34.38,16.46,20220419-070204,2022-01-15,1
521,Key Staticstics,Avg Daily Rate,C2,128.79,124.65,120.58,132.75,137.81,167.32,204.73,157.98,20220419-070204,2022-01-15,1
522,Key Staticstics,RevPAR,C2,15.09,14.12,15.07,18.67,16.69,32.03,70.38,26.01,20220419-070204,2022-01-15,1
523,Total Revenue,Total Revenue,C,4791.36,4155.58,4129.50,5511.88,4920.07,9316.52,20199.10,53024.01,20220419-070204,2022-01-15,1
524,Total Revenue,Total Rev POR,C,18.72,16.23,16.13,21.53,19.22,36.39,78.90,29.59,20220419-070204,2022-01-15,1
525,Total Revenue,Avg Spend/Guest,C2,93.95,83.11,79.41,90.36,84.83,99.11,116.09,98.19,20220419-070204,2022-01-15,1
526,Total Revenue,Breakfast Capture %,P,20.44,5.88,4.26,4.26,4.26,2.13,14.89,8.02,20220419-070204,2022-01-15,1
527,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070204,2022-01-15,1
528,Total Revenue,Room Revenue,C2,3863.67,3614.95,3858.56,4779.05,4272.18,8198.87,18016.48,46603.76,20220419-070204,2022-01-15,1
529,Total Revenue,F&B Revenue,C,440.83,119.72,124.55,168.82,87.73,415.23,779.05,2135.93,20220419-070204,2022-01-15,1
530,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070204,2022-01-15,1
531,Total Revenue,Other Revenue,C,486.86,420.91,146.39,564.01,560.16,702.42,1403.57,4284.32,20220419-070204,2022-01-15,1
532,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070204,2022-01-15,1
533,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070208,2022-01-16,1
534,Key Staticstics,Room Occupied,N,29.00,32.00,36.00,31.00,49.00,88.00,23.00,288.00,20220419-070208,2022-01-16,1
535,Key Staticstics,# of Guest,N,50.00,52.00,61.00,58.00,94.00,174.00,37.00,526.00,20220419-070208,2022-01-16,1
536,Key Staticstics,Room Density,N2,1.72,1.63,1.69,1.87,1.92,1.98,1.61,1.83,20220419-070208,2022-01-16,1
537,Key Staticstics,No of Arrivals,N,215.00,228.00,250.00,270.00,307.00,358.00,365.00,1993.00,20220419-070208,2022-01-16,1
538,Key Staticstics,No of Departure,N,240.00,250.00,268.00,293.00,312.00,324.00,396.00,2083.00,20220419-070208,2022-01-16,1
539,Key Staticstics,Occupancy %,P,11.33,12.50,14.06,12.11,19.14,34.38,8.98,16.07,20220419-070208,2022-01-16,1
540,Key Staticstics,Avg Daily Rate,C2,124.65,120.58,132.75,137.81,167.32,204.73,143.86,159.89,20220419-070208,2022-01-16,1
541,Key Staticstics,RevPAR,C2,14.12,15.07,18.67,16.69,32.03,70.38,12.93,25.70,20220419-070208,2022-01-16,1
542,Total Revenue,Total Revenue,C,4155.58,4129.50,5511.88,4920.07,9316.52,20199.10,4414.46,52647.11,20220419-070208,2022-01-16,1
543,Total Revenue,Total Rev POR,C,16.23,16.13,21.53,19.22,36.39,78.90,17.24,29.38,20220419-070208,2022-01-16,1
544,Total Revenue,Avg Spend/Guest,C2,83.11,79.41,90.36,84.83,99.11,116.09,119.31,100.09,20220419-070208,2022-01-16,1
545,Total Revenue,Breakfast Capture %,P,5.88,8.00,2.30,2.30,1.15,8.05,33.33,8.72,20220419-070208,2022-01-16,1
546,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070208,2022-01-16,1
547,Total Revenue,Room Revenue,C2,3614.95,3858.56,4779.05,4272.18,8198.87,18016.48,3308.86,46048.95,20220419-070208,2022-01-16,1
548,Total Revenue,F&B Revenue,C,119.72,124.55,168.82,87.73,415.23,779.05,518.46,2213.56,20220419-070208,2022-01-16,1
549,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070208,2022-01-16,1
550,Total Revenue,Other Revenue,C,420.91,146.39,564.01,560.16,702.42,1403.57,587.14,4384.60,20220419-070208,2022-01-16,1
551,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070208,2022-01-16,1
552,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070211,2022-01-17,1
553,Key Staticstics,Room Occupied,N,32.00,36.00,31.00,49.00,88.00,23.00,26.00,285.00,20220419-070211,2022-01-17,1
554,Key Staticstics,# of Guest,N,52.00,61.00,58.00,94.00,174.00,37.00,40.00,516.00,20220419-070211,2022-01-17,1
555,Key Staticstics,Room Density,N2,1.63,1.69,1.87,1.92,1.98,1.61,1.54,1.81,20220419-070211,2022-01-17,1
556,Key Staticstics,No of Arrivals,N,228.00,250.00,270.00,307.00,358.00,365.00,381.00,2159.00,20220419-070211,2022-01-17,1
557,Key Staticstics,No of Departure,N,250.00,268.00,293.00,312.00,324.00,396.00,409.00,2252.00,20220419-070211,2022-01-17,1
558,Key Staticstics,Occupancy %,P,12.50,14.06,12.11,19.14,34.38,8.98,10.16,15.90,20220419-070211,2022-01-17,1
559,Key Staticstics,Avg Daily Rate,C2,120.58,132.75,137.81,167.32,204.73,143.86,148.69,162.46,20220419-070211,2022-01-17,1
560,Key Staticstics,RevPAR,C2,15.07,18.67,16.69,32.03,70.38,12.93,15.10,25.84,20220419-070211,2022-01-17,1
561,Total Revenue,Total Revenue,C,4129.50,5511.88,4920.07,9316.52,20199.10,4414.46,4264.53,52756.06,20220419-070211,2022-01-17,1
562,Total Revenue,Total Rev POR,C,16.13,21.53,19.22,36.39,78.90,17.24,16.66,29.44,20220419-070211,2022-01-17,1
563,Total Revenue,Avg Spend/Guest,C2,79.41,90.36,84.83,99.11,116.09,119.31,106.61,102.24,20220419-070211,2022-01-17,1
564,Total Revenue,Breakfast Capture %,P,8.00,7.69,10.81,5.41,37.84,156.76,35.14,37.38,20220419-070211,2022-01-17,1
565,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070211,2022-01-17,1
566,Total Revenue,Room Revenue,C2,3858.56,4779.05,4272.18,8198.87,18016.48,3308.86,3865.85,46299.85,20220419-070211,2022-01-17,1
567,Total Revenue,F&B Revenue,C,124.55,168.82,87.73,415.23,779.05,518.46,145.91,2239.75,20220419-070211,2022-01-17,1
568,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070211,2022-01-17,1
569,Total Revenue,Other Revenue,C,146.39,564.01,560.16,702.42,1403.57,587.14,252.77,4216.46,20220419-070211,2022-01-17,1
570,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070211,2022-01-17,1
571,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070214,2022-01-18,1
572,Key Staticstics,Room Occupied,N,36.00,31.00,49.00,88.00,23.00,26.00,32.00,285.00,20220419-070214,2022-01-18,1
573,Key Staticstics,# of Guest,N,61.00,58.00,94.00,174.00,37.00,40.00,48.00,512.00,20220419-070214,2022-01-18,1
574,Key Staticstics,Room Density,N2,1.69,1.87,1.92,1.98,1.61,1.54,1.50,1.80,20220419-070214,2022-01-18,1
575,Key Staticstics,No of Arrivals,N,250.00,270.00,307.00,358.00,365.00,381.00,398.00,2329.00,20220419-070214,2022-01-18,1
576,Key Staticstics,No of Departure,N,268.00,293.00,312.00,324.00,396.00,409.00,420.00,2422.00,20220419-070214,2022-01-18,1
577,Key Staticstics,Occupancy %,P,14.06,12.11,19.14,34.38,8.98,10.16,12.50,15.90,20220419-070214,2022-01-18,1
578,Key Staticstics,Avg Daily Rate,C2,132.75,137.81,167.32,204.73,143.86,148.69,117.16,162.07,20220419-070214,2022-01-18,1
579,Key Staticstics,RevPAR,C2,18.67,16.69,32.03,70.38,12.93,15.10,14.65,25.78,20220419-070214,2022-01-18,1
580,Total Revenue,Total Revenue,C,5511.88,4920.07,9316.52,20199.10,4414.46,4264.53,4226.65,52853.21,20220419-070214,2022-01-18,1
581,Total Revenue,Total Rev POR,C,21.53,19.22,36.39,78.90,17.24,16.66,16.51,29.49,20220419-070214,2022-01-18,1
582,Total Revenue,Avg Spend/Guest,C2,90.36,84.83,99.11,116.09,119.31,106.61,88.06,103.23,20220419-070214,2022-01-18,1
583,Total Revenue,Breakfast Capture %,P,7.69,6.56,5.00,35.00,145.00,32.50,27.50,37.04,20220419-070214,2022-01-18,1
584,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070214,2022-01-18,1
585,Total Revenue,Room Revenue,C2,4779.05,4272.18,8198.87,18016.48,3308.86,3865.85,3749.27,46190.56,20220419-070214,2022-01-18,1
586,Total Revenue,F&B Revenue,C,168.82,87.73,415.23,779.05,518.46,145.91,150.91,2266.11,20220419-070214,2022-01-18,1
587,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070214,2022-01-18,1
588,Total Revenue,Other Revenue,C,564.01,560.16,702.42,1403.57,587.14,252.77,326.47,4396.54,20220419-070214,2022-01-18,1
589,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070214,2022-01-18,1
590,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070218,2022-01-19,1
591,Key Staticstics,Room Occupied,N,31.00,49.00,88.00,23.00,26.00,32.00,32.00,281.00,20220419-070218,2022-01-19,1
592,Key Staticstics,# of Guest,N,58.00,94.00,174.00,37.00,40.00,48.00,56.00,507.00,20220419-070218,2022-01-19,1
